DATE,TIME,NB_ JUNCTIONS,NB_speed,NB_traffic_conditions,SB_JUNCTIONS,SB_speed,SB_traffic_conditions,DAYS
22/02/2022,0,J47- J48,70,None,J48 - J47,70,None,Tuesday
22/02/2022,0,J46 - J47,70,None,J47 - J46,70,None,Tuesday
22/02/2022,0,J45 -J46,66,None,J46 - J45,70,None,Tuesday
22/02/2022,0,J43|44 - J45,64,None,J45 - J43|44,70,None,Tuesday
22/02/2022,0,J42 - J43|44,70,None,J43|44 - J42,70,None,Tuesday
22/02/2022,0,J41 - J42,70,None,J42 - J41,68,None,Tuesday
22/02/2022,0,J40 - J41,70,None,J41 - J40,70,None,Tuesday
22/02/2022,0,J39- J40,67,None,J40 - J39,68,None,Tuesday
22/02/2022,0,J38 - J39,68,None,J39 - J38,70,None,Tuesday
22/02/2022,0,J37 - J38,70,None,J38 - J37,70,None,Tuesday
22/02/2022,0,J36 - J37,68,None,J37 - J36,60,None,Tuesday
22/02/2022,0,J35A - J36,64,None,J36 - J35A,60,None,Tuesday
22/02/2022,0,J35 - J35A,67,None,J35A - J35,38,Roadworks,Tuesday
22/02/2022,0,J34 - J35,56,None,J35 - J34,65,None,Tuesday
22/02/2022,0,J33 - J34,61,None,J34 - J33,60,None,Tuesday
22/02/2022,0,J32 - J33,64,None,J33 - J32,63,None,Tuesday
22/02/2022,0,J31 - J32,70,None,J32 - J31,63,None,Tuesday
22/02/2022,0,J30 - J31,70,None,J31 - J30,65,None,Tuesday
22/02/2022,0,J29A - J30,70,None,J30 - J29A,68,None,Tuesday
22/02/2022,0,J29 - J29A,67,None,J29A - J29,70,None,Tuesday
22/02/2022,0,J28 - J29,70,None,J29 - J28,70,None,Tuesday
22/02/2022,0,J27 - J28,67,None,J28 - J27,67,None,Tuesday
22/02/2022,0,J26 - J27,65,None,J27 - J26,68,None,Tuesday
22/02/2022,0,J25 - J26,66,None,J26 - J25,65,None,Tuesday
22/02/2022,0,J24A -J25,68,None,J25 - J24A,70,None,Tuesday
22/02/2022,0,J24 - J24A,70,None,J24A - J24,69,None,Tuesday
22/02/2022,0,J23A - J24,61,None,J24 - J23A,57,None,Tuesday
22/02/2022,0,J23 - J23A,60,None,J23A - J23,56,None,Tuesday
22/02/2022,0,J22 - J23,57,None,J23 - J22,66,None,Tuesday
22/02/2022,0,J21A - J22,60,None,J22 - J21A,61,None,Tuesday
22/02/2022,0,J21- J21A,63,None,J21A - J21,55,None,Tuesday
22/02/2022,0,J20 - J21,60,None,J21 - J20,57,None,Tuesday
22/02/2022,0,J19 - J20,55,None,J20 - J19,69,None,Tuesday
